3.00 0.0080 0.694     o16     16  -1.5653577E-04  8.6970301E-03  8.8535659E-03  3.7714788E-03  3.8396122E-03 -7.7757076E-03
3.00 0.0080 0.694     o17     17   2.0867750E-05  2.4454579E-05  3.5868281E-06  1.0604761E-05  1.5555346E-06  8.3362120E-01
3.00 0.0080 0.694     o18     18  -7.3594074E-06  1.2636187E-05  1.9995594E-05  5.4796992E-06  8.6716846E-06 -1.9934677E-01
3.00 0.0080 0.694     o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694     f19     19   1.3699617E-05  1.4073446E-05  3.7382932E-07  6.1029691E-06  1.6212219E-07  1.5756987E+00
3.00 0.0080 0.694     f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    ne20     20   1.2261898E-04  1.6170798E-03  1.4944609E-03  7.0124882E-04  6.4811739E-04  3.4218464E-02
3.00 0.0080 0.694    ne21     21   4.9498631E-06  8.7590306E-06  3.8091678E-06  3.7983655E-06  1.6519588E-06  3.6159757E-01
3.00 0.0080 0.694    ne22     22   7.5472132E-03  7.6673990E-03  1.2018562E-04  3.3249778E-03  5.2122065E-05  1.8047671E+00
3.00 0.0080 0.694    ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    na22     22   1.1530459E-21  1.1530459E-21  0.0000000E+00  5.0001988E-22  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    na23     23   1.6356909E-04  1.9439284E-04  3.0823754E-05  8.4298714E-05  1.3367638E-05  7.9976630E-01
3.00 0.0080 0.694    na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    mg24     24   3.9858511E-05  5.1516434E-04  4.7530583E-04  2.2340172E-04  2.0613050E-04  3.4944259E-02
3.00 0.0080 0.694    mg25     25   1.0953657E-04  1.7200263E-04  6.2466061E-05  7.4589174E-05  2.7090264E-05  4.3986255E-01
3.00 0.0080 0.694    mg26     26   1.3009713E-04  2.0174807E-04  7.1650938E-05  8.7488326E-05  3.1073560E-05  4.4955909E-01
3.00 0.0080 0.694    mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    al-6     26   7.3642511E-08  7.3642511E-08  0.0000000E+00  3.1935173E-08  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
3.00 0.0080 0.694    al27     27   7.2330695E-06  6.0834525E-05  5.3601456E-05  2.6380974E-05  2.3245864E-05  5.4945130E-02
3.00 0.0080 0.694    al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
