#  
#  1.0 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
Er	68	1.9382686e-10	2.3399437e-10	4.0167515e-11	3.8942147e-10	6.6848158e-11	7.6533045e-01
Tm	69	2.2402223e-11	2.8943415e-11	6.5411921e-12	4.8168624e-11	1.0886076e-11	6.4589288e-01
Yb	70	4.3147963e-10	4.6812428e-10	3.6644653e-11	7.7906849e-10	6.0985289e-11	1.1063506e+00
Lu	71	4.9112934e-11	5.5435238e-11	6.3223038e-12	9.2257225e-11	1.0521795e-11	9.4291056e-01
Hf	72	4.0013999e-10	4.2698229e-10	2.6842301e-11	7.1059856e-10	4.4671879e-11	1.2015901e+00
Ta	73	4.4876718e-11	4.8907533e-11	4.0308148e-12	8.1393594e-11	6.7082204e-12	1.0839829e+00
W	74	4.2140403e-10	4.4549262e-10	2.4088591e-11	7.4140410e-10	4.0089060e-11	1.2670291e+00
Re	75	4.8682738e-11	5.8635660e-11	9.9529216e-12	9.7583477e-11	1.6563993e-11	7.7021124e-01
Os	76	3.4076230e-10	4.6581738e-10	1.2505508e-10	7.7522927e-10	2.0812096e-10	5.7111434e-01
Ir	77	5.3970787e-11	1.7190614e-10	1.1793536e-10	2.8609210e-10	1.9627207e-10	1.6364736e-01
Pt	78	3.6917066e-10	5.9059068e-10	2.2142002e-10	9.8288127e-10	3.6849479e-10	4.2606970e-01
Au	79	6.1696736e-11	9.8191838e-11	3.6495102e-11	1.6341423e-10	6.0736400e-11	4.2984083e-01
Hg	80	1.3101327e-09	1.3910489e-09	8.0916178e-11	2.3150313e-09	1.3466348e-10	1.2353070e+00
Tl	81	6.6390185e-10	6.9924186e-10	3.5340013e-11	1.1637023e-09	5.8814062e-11	1.2963607e+00
Pb	82	1.1878332e-07	1.1945083e-07	6.6751409e-10	1.9879417e-07	1.1108999e-09	2.2527287e+00
Bi	83	1.6297019e-09	1.6571125e-09	2.7410638e-11	2.7578236e-09	4.5617724e-11	1.7814329e+00
#  
#  1.5 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
H	1	-3.7439840e-02	6.0194106e-01	6.3938090e-01	7.0514414e-01	7.4900306e-01	-2.6205690e-02
He	2	3.1636687e-02	2.4506497e-01	2.1342829e-01	2.8708148e-01	2.5002067e-01	6.0029254e-02
C	6	4.9359068e-03	5.0838275e-03	1.4792066e-04	5.9554521e-03	1.7328172e-04	1.5361620e+00
N	7	8.0857651e-05	1.2415192e-04	4.3294274e-05	1.4543783e-04	5.0717097e-05	4.5752301e-01
O	8	2.1593041e-04	5.7443667e-04	3.5850626e-04	6.7292410e-04	4.1997233e-04	2.0474541e-01
F	9	7.2711640e-07	7.4796240e-07	2.0846003e-08	8.7620091e-07	2.4420060e-08	1.5548570e+00
Ne	10	5.5573633e-04	6.3413279e-04	7.8396456e-05	7.4285515e-04	9.1837565e-05	9.0788378e-01
Na	11	6.5195812e-06	8.1867506e-06	1.6671693e-06	9.5903728e-06	1.9530063e-06	6.9113185e-01
Mg	12	6.4930017e-06	5.0774312e-05	4.4281310e-05	5.9479591e-05	5.1873361e-05	5.9423592e-02
Al	13	3.7501991e-07	3.5490842e-06	3.1740643e-06	4.1575763e-06	3.7182591e-06	4.8500579e-02
Si	14	1.8220930e-07	4.1782191e-05	4.1599982e-05	4.8945767e-05	4.8732318e-05	1.8980699e-03
P	15	7.7738319e-08	4.1011252e-07	3.3237420e-07	4.8042650e-07	3.8935991e-07	9.1275722e-02
S	16	-3.2087758e-08	1.9317728e-05	1.9349816e-05	2.2629763e-05	2.2667352e-05	-7.2078045e-04
Cl	17	1.2887172e-08	2.6424781e-07	2.5136063e-07	3.0955322e-07	2.9445653e-07	2.1714135e-02
Ar	18	-1.9335819e-08	4.1518844e-06	4.1712201e-06	4.8637268e-06	4.8863777e-06	-2.0178642e-03
K	19	4.3467911e-09	2.0034267e-07	1.9599587e-07	2.3469150e-07	2.2959946e-07	9.5265062e-03
Ca	20	-2.2860525e-08	3.2397578e-06	3.2626183e-06	3.7952157e-06	3.8219957e-06	-3.0537264e-03
Sc	21	3.1330472e-10	2.4193600e-09	2.1060553e-09	2.8341604e-09	2.4671394e-09	6.0230737e-02
Ti	22	5.1158629e-09	1.6758216e-07	1.6246630e-07	1.9631421e-07	1.9032122e-07	1.3464506e-02
V	23	-1.2879725e-10	1.9224009e-08	1.9352806e-08	2.2519974e-08	2.2670854e-08	-2.8999953e-03
Cr	24	-2.0198612e-09	9.0624740e-07	9.0826725e-07	1.0616239e-06	1.0639901e-06	-9.6688563e-04
Mn	25	9.5189785e-09	7.0234935e-07	6.9283038e-07	8.2276748e-07	8.1161647e-07	5.9262663e-03
Fe	26	-4.0439040e-07	8.0457022e-05	8.0861412e-05	9.4251416e-05	9.4725138e-05	-2.1773671e-03
Co	27	4.4372332e-08	2.2680743e-07	1.8243510e-07	2.6569367e-07	2.1371368e-07	9.4548885e-02
Ni	28	1.1894955e-07	4.0034612e-06	3.8845117e-06	4.6898565e-06	4.5505130e-06	1.3099198e-02
Cu	29	2.6791888e-08	7.3980033e-08	4.7188145e-08	8.6663944e-08	5.5278574e-08	1.9528162e-01
Zn	30	3.0902413e-08	9.2013975e-08	6.1111563e-08	1.0778981e-07	7.1589170e-08	1.7773040e-01
Ga	31	4.7191398e-09	8.2194072e-09	3.5002674e-09	9.6286284e-09	4.1003899e-09	3.7073927e-01
Ge	32	1.4347941e-08	2.4958389e-08	1.0610448e-08	2.9237516e-08	1.2429614e-08	3.7148282e-01
As	33	4.7161084e-10	1.0957942e-09	6.2418335e-10	1.2836686e-09	7.3119987e-10	2.4441681e-01
Se	34	1.2373540e-08	1.8873243e-08	6.4997031e-09	2.2109069e-08	7.6140803e-09	4.6295299e-01
Br	35	1.7223696e-09	2.8792087e-09	1.1568391e-09	3.3728504e-09	1.3551797e-09	3.9600018e-01
Kr	36	1.7751706e-08	2.3952671e-08	6.2009649e-09	2.8059367e-08	7.2641233e-09	5.8689466e-01
Rb	37	2.5067255e-09	3.6888036e-09	1.1820781e-09	4.3212507e-09	1.3847459e-09	4.9423936e-01
Sr	38	2.6828814e-08	2.9589315e-08	2.7605011e-09	3.4662418e-08	3.2337902e-09	1.0301470e+00
Y	39	6.2932686e-09	6.8953386e-09	6.0207003e-10	8.0775476e-09	7.0529521e-10	1.0589086e+00
Zr	40	1.6488136e-08	1.7778818e-08	1.2906824e-09	2.0827005e-08	1.5119705e-09	1.1390835e+00
Nb	41	1.0003337e-09	1.1000459e-09	9.9712267e-11	1.2886494e-09	1.1680798e-10	1.0426623e+00
Mo	42	2.6505690e-09	2.9152981e-09	2.6472912e-10	3.4151273e-09	3.1011705e-10	1.0418813e+00
Ru	44	1.5203933e-09	1.6995601e-09	1.7916688e-10	1.9909505e-09	2.0988513e-10	9.7707880e-01
Rh	45	1.2411406e-10	1.7344242e-10	4.9328363e-11	2.0317921e-10	5.7785734e-11	5.4605863e-01
Pd	46	1.6097459e-09	1.7822388e-09	1.7249283e-10	2.0878044e-09	2.0206680e-10	1.0141948e+00
Ag	47	2.4921618e-10	3.2058947e-10	7.1373306e-11	3.7555470e-10	8.3610293e-11	6.5241346e-01
Cd	48	2.6036440e-09	2.8229059e-09	2.1926200e-10	3.3068945e-09	2.5685457e-10	1.1097330e+00
