#Chemical Yields (solar masses)
#Z=0.04 
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05  1.00e-06  4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -        -      1.44e-04  1.76e-03  
  3.50 -7.05D-02  6.13D-02 -1.83D-08  3.26D-04  1.42D-04  8.51D-03  2.58D-05  1.20D-05  2.65D-09 -8.42D-08  3.97D-05 -2.30D-05  1.46D-04 -9.28D-06  3.48D-05  1.18D-05  1.50D-06  1.97D-05  6.42D-06  0.85
  3.00 -6.78D-02  4.37D-02 -2.25D-08  1.83D-02  7.91D-07  6.27D-04  4.57D-03  9.29D-06  1.98D-09  4.94D-08  8.25D-05  2.24D-04  1.36D-05 -6.41D-06  1.29D-04  4.19D-05  2.01D-09  7.38D-05  3.72D-06  0.75
  2.50 -8.27D-02  5.20D-02 -1.84D-08  2.55D-02  1.42D-05  6.43D-04  3.66D-03  9.93D-06  2.14D-09  3.21D-07  1.11D-05  7.25D-04  1.68D-05  0.00D+00  6.94D-05  3.53D-05  2.39D-09  2.03D-05  0.00D+00  0.64
  2.00 -7.90D-02  4.61D-02 -1.38D-08  2.60D-02  1.30D-05  4.19D-04  5.19D-03  1.07D-05  2.52D-09  2.89D-06  2.13D-06  1.20D-03  2.18D-05  0.00D+00  1.64D-05  1.54D-05  1.93D-09  3.35D-06  0.00D+00  0.63
  1.75 -3.56D-02  3.00D-02 -1.16D-08  4.88D-03  1.22D-05  2.47D-04  3.76D-04  1.09D-06  2.97D-10  1.52D-07  1.06D-06  7.63D-05  1.05D-06  0.00D+00  1.44D-06  1.17D-06  2.66D-10  4.06D-07  0.00D+00  0.62
  1.50 -3.26D-02  2.60D-02 -9.24D-09  5.82D-03  1.01D-05  1.72D-04  4.99D-04  9.52D-07  3.71D-10  4.52D-07  0.00D+00  1.26D-04  1.76D-06  0.00D+00  8.13D-07  8.53D-07  7.79D-11  5.16D-08  0.00D+00  0.58
  1.25 -1.91D-02  1.65D-02 -6.71D-09  2.34D-03  7.38D-06  9.57D-05  1.23D-04  5.88D-07  2.71D-10  1.48D-07  0.00D+00  3.77D-05  6.79D-07  0.00D+00  2.44D-07  2.51D-07  7.92D-11  2.39D-08  0.00D+00  0.58
  1.00 -1.10D-02  1.01D-02 -4.47D-09  8.33D-04  4.56D-06  4.10D-05  4.23D-05  6.82D-07  3.58D-10  5.10D-08  0.00D+00  1.25D-05  2.49D-07  0.00D+00  4.92D-08  5.64D-08  3.71D-11  5.67D-09  0.00D+00  0.56
  
#Z=0.001
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.749      0.25      1e-8    8.49e-5      -      2.49e-5   5.8e-4    2.02e-7   1.13e-6    1.2e-8   1.28e-4   6.77e-6   1.03e-6   4.97e-5   3.52e-6   4.03e-3      -      1.78e-6   5.47e-5    
  7.50 -7.24D-01  7.23D-01 -3.86D-08 -3.89D-04  3.23D-05  3.07D-03 -2.10D-03  1.89D-05 -6.55D-06 -5.76D-08  3.90D-05 -3.99D-05  2.79D-05 -2.77D-04  2.48D-04 -1.29D-05  1.57D-06  4.69D-05  3.24D-05  1.29
  7.00 -6.73D-01  6.73D-01 -5.49D-08 -3.91D-04  2.44D-05  2.86D-03 -2.47D-03  1.34D-05 -6.43D-06 -6.31D-08  3.68D-05 -3.81D-05  1.01D-05 -2.77D-04  2.19D-04  1.21D-05  1.85D-06  6.49D-05  3.18D-05  1.21
  6.50 -6.06D-01  6.06D-01 -5.02D-08 -3.68D-04  2.14D-05  2.59D-03 -2.41D-03  5.84D-06 -5.99D-06 -5.94D-08  2.73D-05 -3.55D-05  5.86D-06 -2.58D-04  1.92D-04 -1.30D-05  1.85D-06  6.94D-05  3.25D-05  1.13
  6.00 -5.49D-01  5.49D-01 -4.59D-08 -3.39D-04  1.96D-05  2.49D-03 -2.37D-03  3.23D-06 -5.55D-06 -5.61D-08  2.43D-05 -3.28D-05  4.33D-06 -2.39D-04  1.58D-04 -1.09D-05  1.97D-06  8.19D-05  3.25D-05  1.04
  5.50 -4.64D-01  4.64D-01 -4.29D-08 -3.02D-04  1.86D-05  2.39D-03 -2.25D-03  1.59D-06 -5.06D-06 -5.18D-08  2.18D-05 -2.99D-05  4.27D-06 -2.16D-04  1.27D-04 -7.22D-06  1.87D-06  9.03D-05  2.78D-05  0.99
  5.00 -3.58D-01  3.57D-01 -3.87D-08 -2.42D-04  2.25D-05  2.92D-03 -1.97D-03  1.26D-06 -4.54D-06 -4.61D-08  1.97D-05 -2.68D-05  6.69D-06 -1.90D-04  1.02D-04 -2.66D-06  2.08D-06  9.20D-05  1.74D-05  0.95
  4.50 -2.52D-01  2.50D-01 -3.45D-08 -1.02D-04  3.64D-05  3.51D-03 -1.47D-03  1.69D-06 -3.98D-06 -3.90D-08  1.76D-05 -2.29D-05  1.13D-05 -1.56D-04  9.88D-05  2.10D-07  2.56D-06  6.67D-05  5.91D-06  0.92
  4.00 -1.62D-01  1.58D-01 -2.94D-08  8.38D-05  3.86D-05  4.33D-03 -6.97D-04  3.16D-06 -3.39D-06 -2.99D-08  1.38D-05 -1.85D-05  2.27D-05 -8.74D-05  7.23D-05  5.73D-07  2.39D-06  2.62D-05  1.73D-06  0.89
  3.50 -6.94D-02  6.38D-02 -2.37D-08  2.88D-04  7.96D-05  4.79D-03  3.57D-04  4.77D-06 -2.74D-06 -1.71D-08  1.27D-05 -1.25D-05  3.14D-05 -1.10D-05  1.68D-05  1.88D-06  7.09D-07  7.18D-06  1.52D-06  0.87
